time,gFx,gFy,gFz,TgF
0.004816875,0.2240,0.1962,0.9198,0.967
0.005230572,0.2289,0.1945,0.9157,0.964
0.005534843,0.2294,0.1955,0.9161,0.964
0.005695312,0.2306,0.1928,0.9181,0.966
0.005808802,0.2377,0.1977,0.9218,0.972
0.005918072,0.2404,0.1955,0.9293,0.980
0.006033906,0.2438,0.1972,0.9349,0.986
0.006134739,0.2470,0.1984,0.9425,0.994
0.006246197,0.2501,0.1977,0.9459,0.998
0.00634901,0.2526,0.1987,0.9511,1.004
0.006463906,0.2560,0.1989,0.9562,1.010
0.006566979,0.2587,0.1989,0.9582,1.012
0.010543177,0.2555,0.1965,0.9579,1.011
0.011253489,0.2514,0.1958,0.9569,1.009
0.015599062,0.2458,0.1886,0.9484,0.998
0.015899739,0.2375,0.1869,0.9513,0.998
0.019927343,0.2321,0.1882,0.9557,1.001
0.020186822,0.2255,0.1850,0.9523,0.996
0.02490427,0.2196,0.1830,0.9481,0.990
0.025124583,0.2184,0.1847,0.9450,0.987
0.03019776,0.2147,0.1835,0.9454,0.987
0.030513697,0.2206,0.1762,0.9748,1.015
0.03443026,0.2277,0.1757,0.9977,1.038
0.03472125,0.2208,0.1803,0.9865,1.027
0.039015625,0.2101,0.1764,0.9706,1.009
0.0391975,0.2140,0.1811,0.9543,0.995
0.044369479,0.2204,0.1840,0.9557,0.998
0.045112031,0.2230,0.1821,0.9567,0.999
0.048956458,0.2277,0.1877,0.9623,1.007
0.04987526,0.2309,0.1886,0.9738,1.018
0.056322343,0.2418,0.1879,1.0026,1.048
0.057215729,0.2521,0.1830,1.0483,1.094
0.058470677,0.2436,0.1852,0.9943,1.040
0.058930781,0.2204,0.1931,0.8954,0.942
0.072426354,0.2123,0.1928,0.8824,0.928
0.073247083,0.2250,0.1953,0.8729,0.922
0.073614427,0.2401,0.1997,0.8858,0.939
0.073939375,0.2570,0.2092,0.9135,0.972
0.074270156,0.2692,0.2165,0.9408,1.002
0.074607083,0.2719,0.2175,0.9560,1.017
0.07748927,0.2665,0.2165,0.9633,1.023
0.077868333,0.2582,0.2119,0.9652,1.021
0.08252276,0.2501,0.2063,0.9628,1.016
0.08294526,0.2455,0.2026,0.9633,1.015
0.087200364,0.2426,0.2014,0.9596,1.010
0.087602968,0.2394,0.2006,0.9521,1.002
0.092316093,0.2335,0.2031,0.9452,0.995
0.092707499,0.2326,0.1967,0.9425,0.991
0.097552552,0.2289,0.1933,0.9410,0.988
0.098203906,0.2299,0.1923,0.9393,0.986
0.101702604,0.2299,0.1931,0.9347,0.982
0.102063541,0.2270,0.1928,0.9303,0.977
0.106263385,0.2257,0.1921,0.9264,0.973
0.106500885,0.2262,0.1919,0.9252,0.972
0.11134427,0.2250,0.1923,0.9232,0.970
0.112016302,0.2223,0.1923,0.9274,0.973
0.116051927,0.2172,0.1884,0.9276,0.971
0.116390312,0.2155,0.1857,0.9283,0.971
0.120874583,0.2111,0.1857,0.9301,0.972
0.121158333,0.2133,0.1823,0.9393,0.980
0.125277812,0.2157,0.1803,0.9459,0.987
0.125446458,0.2174,0.1796,0.9496,0.991
0.131528958,0.2199,0.1781,0.9533,0.994
0.131808124,0.2230,0.1752,0.9543,0.996
0.135019947,0.2282,0.1772,0.9545,0.997
0.135283124,0.2345,0.1791,0.9601,1.004
0.139900989,0.2399,0.1750,0.9626,1.007
0.140100781,0.2458,0.1752,0.9631,1.009
0.144863645,0.2448,0.1767,0.9557,1.002
0.145143802,0.2448,0.1750,0.9518,0.998
0.149609739,0.2477,0.1764,0.9528,1.000
0.149950572,0.2470,0.1777,0.9503,0.998
0.154208906,0.2450,0.1781,0.9496,0.997
0.154498541,0.2506,0.1830,0.9521,1.001
0.159290677,0.2499,0.1847,0.9516,1.001
0.159549218,0.2523,0.1882,0.9516,1.002
0.164003385,0.2534,0.1882,0.9572,1.008
0.164343906,0.2516,0.1896,0.9579,1.008
0.168634166,0.2534,0.1908,0.9574,1.009
0.168948645,0.2543,0.1948,0.9555,1.008
0.173589583,0.2506,0.1960,0.9530,1.005
0.17388651,0.2475,0.1977,0.9462,0.998
0.17828151,0.2494,0.1987,0.9437,0.996
0.178520156,0.2458,0.1987,0.9428,0.994
0.18322677,0.2443,0.1984,0.9413,0.993
0.184040104,0.2411,0.2009,0.9388,0.990
0.188103697,0.2382,0.2021,0.9381,0.989
0.188402135,0.2350,0.2053,0.9359,0.987
0.192978958,0.2304,0.2075,0.9379,0.988
0.193284635,0.2265,0.2043,0.9418,0.990
0.19764526,0.2255,0.2048,0.9450,0.993
0.19795026,0.2252,0.2050,0.9493,0.997
0.202206927,0.2272,0.2036,0.9518,1.000
0.202550885,0.2306,0.2004,0.9491,0.997
0.20693552,0.2321,0.1980,0.9481,0.996
0.207172343,0.2365,0.1967,0.9516,1.000
0.211590416,0.2379,0.1919,0.9493,0.997
0.211723437,0.2404,0.1894,0.9484,0.997
0.217283645,0.2423,0.1857,0.9496,0.997
0.217681406,0.2460,0.1823,0.9511,0.999
0.221369791,0.2443,0.1811,0.9489,0.996
0.221595833,0.2445,0.1813,0.9415,0.990
0.226315624,0.2445,0.1781,0.9415,0.989
0.226974114,0.2431,0.1784,0.9418,0.989
0.231434843,0.2411,0.1774,0.9403,0.987
0.232050416,0.2387,0.1808,0.9418,0.988
0.236120781,0.2423,0.1838,0.9437,0.992
0.236573645,0.2423,0.1860,0.9430,0.991
0.240570312,0.2411,0.1862,0.9430,0.991
0.24086401,0.2396,0.1889,0.9442,0.992
0.245660052,0.2414,0.1896,0.9435,0.992
0.246101666,0.2421,0.1914,0.9435,0.993
0.250466614,0.2426,0.1904,0.9413,0.991
0.25115651,0.2436,0.1928,0.9413,0.991
0.25537302,0.2426,0.1933,0.9447,0.994
0.255896562,0.2448,0.1943,0.9459,0.996
0.259791718,0.2467,0.1941,0.9516,1.002
0.26020302,0.2511,0.1975,0.9535,1.006
0.266741822,0.2475,0.2011,0.9535,1.005
0.267283177,0.2519,0.2011,0.9567,1.010
0.269502395,0.2531,0.2021,0.9601,1.013
0.269976249,0.2538,0.2016,0.9587,1.012
0.274953541,0.2511,0.2024,0.9555,1.008
0.276052187,0.2470,0.1999,0.9484,1.000
0.285292447,0.2433,0.2016,0.9484,1.000
0.285936249,0.2396,0.1977,0.9481,0.998
0.286209427,0.2338,0.1967,0.9425,0.991
0.286442656,0.2313,0.1970,0.9413,0.989
0.289684791,0.2277,0.1982,0.9474,0.994
0.290172552,0.2257,0.1953,0.9450,0.991
0.293748281,0.2245,0.1953,0.9467,0.992
0.294120052,0.2218,0.1941,0.9471,0.992
0.298222916,0.2201,0.1904,0.9445,0.988
0.298909218,0.2196,0.1891,0.9415,0.985
0.303493177,0.2155,0.1882,0.9398,0.982
0.303939635,0.2162,0.1886,0.9450,0.988
0.307838958,0.2174,0.1879,0.9423,0.985
0.308226301,0.2157,0.1862,0.9418,0.984
0.314383333,0.2169,0.1877,0.9430,0.986
0.314972239,0.2187,0.1872,0.9408,0.984
0.317404687,0.2196,0.1855,0.9406,0.984
0.317799166,0.2174,0.1884,0.9401,0.983
0.322220156,0.2179,0.1886,0.9379,0.981
0.32272802,0.2169,0.1867,0.9391,0.982
0.327188749,0.2194,0.1862,0.9398,0.983
0.327651197,0.2172,0.1857,0.9403,0.983
0.332400312,0.2155,0.1830,0.9420,0.984
0.332967499,0.2177,0.1833,0.9415,0.984
0.336996249,0.2187,0.1840,0.9379,0.980
0.337364531,0.2189,0.1862,0.9364,0.980
0.341353072,0.2177,0.1869,0.9357,0.979
0.341601041,0.2196,0.1889,0.9374,0.981
0.351740885,0.2233,0.1879,0.9388,0.983
0.35271552,0.2279,0.1891,0.9491,0.994
0.353105885,0.2362,0.1908,0.9547,1.002
0.353475676,0.2401,0.1958,0.9410,0.991
0.355827395,0.2406,0.1972,0.9349,0.985
0.356339218,0.2470,0.1941,0.9391,0.990
0.360627708,0.2506,0.1960,0.9386,0.991
0.36109052,0.2526,0.1967,0.9345,0.988
0.36708401,0.2541,0.1972,0.9293,0.983
0.367704479,0.2590,0.2019,0.9259,0.982
0.370397864,0.2509,0.1955,0.9200,0.973
0.370773958,0.2409,0.1945,0.9142,0.965
0.374891406,0.2431,0.1921,0.9210,0.972
0.37516552,0.2494,0.1941,0.9313,0.983
0.379916926,0.2609,0.2033,0.9445,1.001
0.38025177,0.2680,0.2038,0.9481,1.006
0.384735572,0.2653,0.2028,0.9493,1.006
0.384992656,0.2648,0.2011,0.9464,1.003
0.38947177,0.2643,0.2019,0.9445,1.001
0.389651197,0.2626,0.2009,0.9406,0.997
0.393918593,0.2560,0.2009,0.9445,0.999
0.394095989,0.2534,0.1999,0.9450,0.999
0.399046197,0.2514,0.1984,0.9432,0.996
0.399529739,0.2484,0.1984,0.9396,0.992
0.404014687,0.2426,0.1997,0.9325,0.984
0.404720364,0.2360,0.1987,0.9340,0.984
0.408608958,0.2313,0.1977,0.9313,0.980
0.409316822,0.2306,0.1950,0.9386,0.986
0.415581301,0.2326,0.1970,0.9388,0.987
0.416935833,0.2313,0.1975,0.9408,0.989
0.418212395,0.2331,0.1989,0.9457,0.994
0.418901041,0.2399,0.1987,0.9442,0.994
0.422932864,0.2384,0.1972,0.9430,0.992
0.423687447,0.2409,0.1972,0.9428,0.993
0.427822916,0.2401,0.1916,0.9418,0.991
0.42848776,0.2401,0.1928,0.9440,0.993
0.432817968,0.2404,0.1896,0.9464,0.995
0.433788854,0.2428,0.1877,0.9462,0.995
0.437459479,0.2418,0.1850,0.9452,0.993
0.438202551,0.2428,0.1825,0.9430,0.991
0.442106041,0.2450,0.1835,0.9437,0.992
0.442927239,0.2467,0.1821,0.9484,0.997
0.455726458,0.2497,0.1833,0.9479,0.997
0.457183801,0.2504,0.1799,0.9508,1.000
0.457889739,0.2536,0.1786,0.9540,1.003
0.458476614,0.2568,0.1789,0.9547,1.005
0.45913276,0.2585,0.1784,0.9616,1.012
0.459795781,0.2619,0.1769,0.9604,1.011
0.461219322,0.2602,0.1789,0.9569,1.008
