time,gFx,gFy,gFz,TgF
0.003161198,0.2199,0.9582,0.2619,1.017
0.003519479,0.2182,0.9577,0.2619,1.017
0.003707396,0.2213,0.9602,0.2565,1.018
0.003881979,0.2235,0.9606,0.2577,1.019
0.004316666,0.2272,0.9606,0.2585,1.020
0.004509635,0.2291,0.9619,0.2575,1.022
0.009456458,0.2321,0.9626,0.2602,1.024
0.010169687,0.2350,0.9611,0.2592,1.023
0.013995416,0.2355,0.9592,0.2602,1.021
0.014315989,0.2382,0.9570,0.2602,1.020
0.018684166,0.2375,0.9548,0.2617,1.018
0.018991093,0.2404,0.9511,0.2639,1.016
0.023265,0.2433,0.9465,0.2685,1.013
0.023593073,0.2409,0.9428,0.2732,1.011
0.028319375,0.2375,0.9416,0.2771,1.010
0.028612708,0.2362,0.9399,0.2810,1.009
0.032707239,0.2345,0.9382,0.2844,1.008
0.032901146,0.2328,0.9416,0.2922,1.013
0.037740937,0.2304,0.9431,0.2942,1.014
0.038043281,0.2296,0.9426,0.2932,1.013
0.042568073,0.2274,0.9421,0.2937,1.013
0.042928802,0.2252,0.9416,0.2932,1.012
0.047535729,0.2262,0.9421,0.2922,1.012
0.047731875,0.2250,0.9426,0.2863,1.010
0.051903385,0.2223,0.9431,0.2805,1.009
0.052623854,0.2211,0.9401,0.2800,1.006
0.067939687,0.2177,0.9401,0.2758,1.004
0.068608698,0.2208,0.9418,0.2744,1.006
0.068952343,0.2194,0.9421,0.2705,1.004
0.069301406,0.2182,0.9431,0.2671,1.004
0.069656354,0.2169,0.9413,0.2661,1.002
0.070003229,0.2155,0.9418,0.2582,1.000
0.076585,0.2072,0.9396,0.2451,0.993
0.077341041,0.2099,0.9421,0.2470,0.996
0.077676041,0.2106,0.9438,0.2521,0.999
0.077963177,0.2121,0.9477,0.2575,1.005
0.098173281,0.2130,0.9484,0.2656,1.008
0.098722031,0.2118,0.9475,0.2666,1.007
0.098938958,0.2101,0.9418,0.2732,1.003
0.099147083,0.2096,0.9389,0.2702,0.999
0.099337395,0.2060,0.9313,0.2697,0.991
0.099535781,0.2025,0.9257,0.2614,0.983
0.09974125,0.1962,0.9198,0.2587,0.975
0.099947239,0.1935,0.9174,0.2582,0.972
0.100143125,0.1920,0.9198,0.2560,0.974
0.100339948,0.1876,0.9218,0.2604,0.976
0.105503281,0.1854,0.9254,0.2614,0.979
0.105984479,0.1800,0.9276,0.2668,0.982
0.109890989,0.1793,0.9333,0.2702,0.988
0.11027776,0.1752,0.9352,0.2707,0.989
0.114409687,0.1722,0.9367,0.2739,0.991
0.114622812,0.1693,0.9406,0.2773,0.995
0.119078698,0.1708,0.9426,0.2805,0.998
0.11925901,0.1698,0.9470,0.2846,1.003
0.124488541,0.1761,0.9494,0.2859,1.007
0.125321406,0.1764,0.9501,0.2905,1.009
0.128876406,0.1815,0.9514,0.2915,1.011
0.129185885,0.1871,0.9565,0.2932,1.018
0.13378927,0.1913,0.9565,0.2920,1.018
0.134049479,0.1947,0.9575,0.2912,1.020
0.139697708,0.1984,0.9582,0.2920,1.021
0.140453593,0.2008,0.9572,0.2868,1.019
0.143394218,0.2040,0.9565,0.2856,1.019
0.14370552,0.2116,0.9558,0.2824,1.019
0.14817651,0.2130,0.9516,0.2802,1.015
0.148487552,0.2162,0.9487,0.2795,1.012
0.152859843,0.2228,0.9448,0.2785,1.010
0.153106145,0.2221,0.9409,0.2751,1.005
0.157566979,0.2245,0.9367,0.2727,1.001
0.157923698,0.2260,0.9355,0.2727,1.000
0.162486145,0.2289,0.9333,0.2722,0.999
0.162655156,0.2304,0.9333,0.2715,0.999
0.166879323,0.2318,0.9352,0.2707,1.001
